?Codigo;Descricao;Unidade
231141;POSTE AÇO L5000MM 30DAN 2 ENT PM 1744 I1;PEÇ
231142;POSTE ACO L7000MM  30DAN 2 ENT PM1744 I2;PEÇ
231162;POSTE  MADEIRA INSERVÍVEL NO ESTADO;PEÇ
231163;CRUZETA CONC DIV TAM INSERVIVEL NO ESTAD;PEÇ
231164;POSTE  CONCRETO DIV TIPOS/TAMANHOS INSER;PEÇ
231168;CANTONEIRA FE ZINC DIV TAM SUCATA;KG
231189;POSTE CONC. DT 9MX600DAN GSS002/114;UN
231191;POSTE CONCRET DT 11/1500DAN B 3 GSS002;UN
231193;POSTE CONCRET DT 12/2000DANB 4.5 GSS002;UN
231194;POSTE CONCRET DT 13/1000DAN B 1.5 GSS002;UN
231197;POSTE CONC DT 15/2000DAN PM BR314.01;UN
231215;POSTE EUCAL.TRAT.9MX250DAN;DED 0318I1
231216;POSTE EUCAL.TRAT.9MX400DAN DED 0318I2;PEÇ
231282;POSTE CONCRETO CC 12/2000DAN GSS002;PEÇ
231283;POSTE 9mX200daN CO.CIRC C.II NBR8451 ;PEÇ
231285;POSTE 11MX200DAN CO.CIRC C.II DED0054;PEÇ
231286;POSTE 11MX400DAN CO.CIRC C.II DED0054;PEÇ
231287;POSTE CONCRETO CC 11/600DAN GSS002;PEÇ
231290;POSTE EUCAL.TRAT.11MX250DAN DED 0056 ;PEÇ
231291;POSTE EUCAL.TRAT.11X400DAN  DE;PEÇ
231292;POSTE EUCAL.TRAT.11MX600DAN  DED 0056;PEÇ
231294;POSTE CONCRETO CC 13/1000DAN FP;PEÇ
231295;POSTE CONCRETO CC 11/1500DAN GSS002;PEÇ
231299;POSTE CONC. DT 9MX200daN GSS002/69;PEÇ
231300;POSTE CONC. DT 9MX400daN GSS002/70;PEÇ
231301;POSTE CONC. DT 11MX200daN GSS002/71;PEÇ
231302;POSTE CONC. DT 11MX400daN GSS002/72;PEÇ
231303;POSTE CONCRETO DT 11/600DAN GSS002;PEÇ
231304;POSTE CONC.DT 12MX400daN GSS002/74;PEÇ
231305;POSTE CONC. DT 12MX600daN GSS002/75;PEÇ
231307;CRUZETA MADEIRA 2M  PM 1789 R3 UN;PEÇ
231308;CRUZETA  MADEIRA 5M  DED 1790 R.2 UN;PEÇ
231309;MOLDURA  FIO TERRA  DED 98 1794 R.1;PEÇ
231316;CRUZETA  MADEIRA 2 40M  DQN 2062 R2 UN;PEÇ
231320;SUPORTE ALUM MEDICAO CRUZETA PM 2175 I1;PEÇ
231329;POSTE BIPARTIDO PARTE INFERIOR PM2216I1;PEÇ
231330;POSTE BIPARTID PART SUPERIOR 7M PM2216I3;PEÇ
231332;CRUZETA POLIM 2000MM QUAD D315.01;PEÇ
231334;CRUZETA CONCRETO 2M PM 2241;PEÇ
231343;CRUZETA POLIM 2400MM RETAN TIPO2 D315.01;PEÇ
231351;POSTE FIBRA VIDRO 12M  600DAN D307.01;UN
231361;POSTE FIBRA BIP 11M 400DAN D307.01;PEÇ
231413;POSTE FIBRA VIDRO 12M 1000DAN PMBR307.01;UN
231438;CRUZETA  POLIMERICA 2400MM RETANG 1(SUC);UN
231441;CRUZETA MADEIRA LEI 2400X150X120MM (SUC);UN
231452;POSTE  CONCRETO CIRCULAR  9M 600D(SUC);UN
231455;POSTE  CONCRETO CIRCULAR  10M 300D(SUC);UN
231458;POSTE  CONCRETO CIRCULAR  10M 600D(SUC);UN
231462;POSTE  CONCRETO CIRCULAR  11M 200D(SUC);UN
231472;POSTE  CONCRETO CIRCULAR  12M 600D(SUC);UN
231474;POSTE  CONCRETO CIRCULAR  12M 1000D(SUC);UN
231477;POSTE  CONCRETO CIRCULAR  13M 600D(SUC);UN
231494;POSTE  CONCRETO DUPLO T  10M 1000DA(SUC);UN
231519;POSTE MADEIRA  CIRCULAR  EUCALIPTO (SUC);UN
231540;POSTE CONC. DT 11MX400DAN   SUCATA;UN
231541;POSTE 11X200 CONC.CIRC   SUCATA;UN
231542;POSTE CONC. DT 11X600   SUCATA;UN
231543;POSTE CONC.DT 12X400   SUCATA;UN
231546;POSTE 9X200 CONC.CIRC   SUCATA;UN
231547;POSTE 9X400 CONC.CIRC   SUCATA;UN
231548;POSTE 11X400CONC. CIRC   SUCATA;UN
231549;POSTE CONC CIRC 10 5/300   SUCATA;UN
231550;POSTE 11X600 CONC.CIRC   SUCATA;UN
231551;POSTE EUCAL.TRAT.9X400   SUCATA;UN
231552;POSTE EUCAL.TRAT.11X400   SUCATA;UN
231553;POSTE CONC DT 10X150   SUCATA;UN
231554;POSTE EUCAL.TRAT.11X600   SUCATA;UN
231555;POSTE EUCAL.TRAT.9X250   SUCATA;UN
231556;POSTE EUCAL.TRAT.11X250   SUCATA;UN
231557;POSTE 11X1000 CONC.CIRC   SUCATA;UN
231558;POSTE CONC. DT 11X200   SUCATA;UN
231559;POSTE CONC. DT 9X200   SUCATA;UN
231560;POSTE CONC. DT 9X400   SUCATA;UN
231561;POSTE AÇO 8/12   SUCATA;UN
231570;POSTE FIBRA BIP  9M 600DAN D307.01;UN
231576;POSTE CONC DT 10M  300DAN B SUCATA;UN
231578;POSTE CONC DT 11M  200DAN D SUCATA;UN
231580;POSTE CONC DT 11M  600DAN B SUCATA;UN
231581;POSTE CONC DT 11M 1000DAN B 1.5 SUCATA;UN
231584;POSTE CONC DT 12M  600DAN B RD SUCATA;UN
231589;POSTE CONC DT 13M 600DAN B SUCATA;UN
231595;POSTE FIBRA VIDRO 10.5M  600DAN SUCATA;UN
231598;POSTE FIBRA VIDRO 12M  600DAN SUCATA;UN
231601;POSTE CONC DT  8M 100DAN SUCATA;UN
231603;POSTE CONC DT  8M 300DAN D SUCATA;UN
231606;POSTE CONC DT  9M 600DAN B RD SUCATA;UN
231612;POSTE AÇO G 12M/2658DAN UNI PM R305.10.3;UN
231615;PT CONC CIRCULAR 11M X800DAN SUCATA;PEÇ
231616;PT 9MX600DAN CO.CIRC C.II NBR8451 SUCATA;PEÇ
231618;PT 12MX1000DAN CO.CIRC C.II SUCATA;PEÇ
231620;PT 12MX400DAN CO.CIRC C.II NBR845 SUCATA;PEÇ
231621;PT 12MX600DAN CO.CIRC C.II SUCATA;PEÇ
231622;PT EUCAL.TRAT.11MX250DAN DED 0056 SUCATA;PEÇ
231623;PT EUCAL.TRAT.11X400DAN SUCATA;PEÇ
231624;PT 13MX1000DAN CO.CIRC C.II NBR84 SUCATA;PEÇ
231626;PT CIRC MAD 9M 600DAN D0318 SUCATA;PEÇ
231627;PT FIBRA BIPART 11X400DAN PM2268  SUCATA;PEÇ
231630;PT CONC. DT 13MX1000DAN PM0055 I1 SUCATA;UN
231640;POSTE CONC. DT; 14M
231656;TORRES METÁLICAS DE AÇO PARA LTS  SUCATA;KG
231657;POSTE FIBRA VIDRO 13M  600DAN D307.01;UN
231669;POSTE AÇO G 16M/2735DAN TRIP PM BR305.10;UN
231670;POSTE AÇO F 18M/1820DAN TRIP PM BR305.10;UN
231671;POSTE AÇO G 18M/2780DAN TRIP PM BR305.10;UN
231677;POSTE CIRC FIBRA VIDRO 13M 600DAN;PEÇ
231848;POSTE CONCRETO CC 13/2000DAN GSS002;UN
232344;PT 13MX2000DAN CO.CIRC C.II SUCATA;
240009;CRUZETA ACO 2000MM PMBR49009;CDA
240015;CAIXA AÇO PROT BUCHA BT PM BR190.64;CDA
240016;CRUZETA AÇO 2400mm PM Br 490.09;CDA
240066;MAO FRANC PLANA AZ 1053MM 1000MM D430.02;CDA
240092;SUPORTE FIXAÇÃO CIRC ACO 480MM D426.02;UN
240093;SUPORTE FIXAÇÃO CIRC 200 280MM GSCC010;UN
240094;SUPORTE FIXAÇÃO CIRC 260 340MM GSCC010;UN
240095;SUPORTE CONEXÃO AZ GSCC010;UN
240096;SUPORTE TERMINAL EXT UNIP AZ D42901.0;UN
240097;CINTA FIX COND POSTE A=127 MT GSCC010;UN
240099;ARMAÇÃO;SEC
240100;ARMACAO SEC AL 2ESTR C/HASTE D90511.1;UN
240107;CANTONEIRA L AZ 900MM BRAÇOC D45510.0;UN
240116;ARMAÇÃO SEC;AZ
240117;ARMAÇÃO;SEC
240118;MAO FRANCESA PERFIL LG AL 993MM PM1259I1;PEÇ
240119;MÃO FRANCESA PLANA LIGA AL. DED 1260 R.2;PEÇ
240120;MÃO FRANCESA AZ PERFILADA 1534MM D43001;PEÇ
240121;MÃO FRANCESA AZ PERFILADA  993MM D43001;PEÇ
240124;MÃO FRANCESA AZ PERFILADA  993MM FP;UN
240130;FIXADOR PERFIL U AZ SPACER D440.03.0;PEÇ
240131;BRAÇO AFAST HOR 1650MM AZ D457.01;PEÇ
240133;CINTA DT AL 180MM D90420.0;UN
240139;PLACA APOIO TIPO S1 P/SUPOR PM R435.11.2;CJT
240140;PLACA APOIO TIPO S2 P/SUPOR PM R435.11.2;CJT
240152;CINTA U AZ SUPORT MT D=340MM PMA435.12.1;UN
240172;SUPORT FOR REMOVIBLE MV DISCHARGER;
240218;SUPORTE FIX CONCENTRADOR/TRANSF ACO CARB;UN
250034;GANCHO DE SUSPENSAO ACO PM BR904.27;CDA
250036;PRESILHA DE SUSPENSAO AL PM BR904.28;CDA
250041;PROTETOR ESTR E GLV 36KV PM BR780.06;CDA
250042;SUPORTE HORIZ RD COMPACTA 34 5 D455.05;CDA
250043;BRAÇO SUP 36.2KV AZ TIPO C SPACER D45501;CDA
250054;ALCA DIST AL PREF 1/0AWG CAA D730.14;CDA
250061;Suporte Guia para ponto de suspensão;CDA
250063;CINTA LIGA DE ELO DE TECIDO SINTÉTICO  ;CDA
250064;Mastro para içamento de  carga com siste;PI
250065;BASTAO TRACAO OLHAL/GANCHO NTS 001 21HS;PI
250066;CRUZETA AUXILIAR 64MM X 2 83M;PI
250073;CONJ HERRAJE RETENCIÓN CABLE AAAC 681;CDA
250074;MOITÃO TRIPLO EM AÇO;CDA
250075;SELA P/ POSTE COM EXTENSOR E COLAR 64MM;CDA
250076;SELA P/ POSTE COM EXTENSOR E COLAR 38MM;CDA
250078;ESTICADOR DE CABOS;Alumínio CA com cober
250079;ESTIBO PARA LINHA VIVA; RCA400 0331
250080;PARAFUSO DE SELA; RM4740
250081;CINTA PARA MÃO FRANCESA;CDA
250083;PEGADOR DE BOBINA;CDA
250085;BASTÃO MASTRO 64X3000MM;CDA
250086;CABEÇOTE OLHAL PARA CONEXÃO DO BASTÃO MA;CDA
250087;(FLV03457 13) SUPORTE DIM. 38MM X 2 03M;CDA
251625;MANILHA AÇO FORJ 120kN D51011.0;PEÇ
251629;GARFO BOLA AZ 16mm 12000daN D51008.0;PEÇ
251633;GRAMPO  SUSPENSÃO ARMADO P/CB CAA 336 4M;PEÇ
251635;GRAMPO ANC COMP CAA 336MCM T1 D73036.0;PEÇ
251641;GRAMPO DE ANCORAGEM PASSANTE  PARA CABOS;PEÇ
251646;CAVALOTE 12000DAN ITEM1 PM BR510.30;PEÇ
251651;ALCA PREF CU PRE REUN 16MM2 D73006 FPM;PEÇ
251652;ALCA PREF CU PRE REUN 35MM2 D73006 FPM;PEÇ
251654;ALCA PREF. CU PRE REUN 70MM D730.06 FPM;PEÇ
251655;CONCHA OLHAL 16 12000DAN ITEM1 D510.18;PEÇ
251659;CINTA  METÁLICA 12 5MM   ROLO DE 30 5M;PEÇ
251692;SUPORTE MED. EM CRUZETA PMA 420.03 I2 FP;PEÇ
251693;DETECTOR PRES CONTATO 5 15KV;PEÇ
251697;ALCA OLHAL PREF LIGAAL CAL 160MM2 D730.1;PEÇ
251698;PRENSA CABO BSP CB 32 A 38MM D762.03;PEÇ
251709;ESPAÇ LOSAN RC 15KV INST. SOLO D53001;UN
251712;CONJ GRAMPO ANCORAGEM D45059.0;UN
251713;GRAMPO SUSP CABO SUST 50MM2 GSCC010;UN
251714;SUPORTE SUSP  CIRC 140 210MM GSCC010;UN
251715;SUPORTE SUSP  CIRC 200 290MM GSCC010;UN
251764;ALCA DIST ACO PREF 4AWG CAA D730.14;UN
251765;ALCA PREF AÇO PRE REUN CA 54.6MM2 D73006;UN
251767;ALCA DIST ACO PREF 1/0AWG CAA D730.14;UN
251771;ALCA PREF CORD ACO 9.5 MM AR D730.04;UN
251773;ALCA PREF DIST CU NU 16MM2 7F D73001 FPM;UN
251774;ALCA PREF DIST CU NU  70MM2 D73001 FPM;UN
251775;ALCA PREF DIST CU NU 25MM2 7F D73001 FPM;UN
251777;ALCA DISTRIB CU NU  35MM2 D73001 FPM;UN
251781;ALÇA PREF AZ BI CONCENT 4MM2 D730.05.0;UN
251783;ALÇA PREF AZ BI CONCENT 10MM2 D730.05.0;UN
251786;LACO PREF AÇO PRE REUN 54.6MM2 D73006;UN
251797;OLHAL AZ 5000DAN M16 PM BR/D41005.1;UN
251800;ARMACAO SEC;AL
251814;GANCHO OLHAL AZ SUSP 5000DAN D51004.0;UN
251817;MANILHA SAPATILHA AZ 5000DAN D51003.0;UN
251825;FITA DE ALUMINO;1 X 10MM
251831;PERFIL U 900MM ACO PMBR440.02;PEÇ
251832;CINTA P/POSTE CIRC 150MM D435.07;PEÇ
251833;CINTA P/POSTE CIRC 170MM D435.07;PEÇ
251834;CINTA P/POSTE CIRC 190MM D435.07;PEÇ
251835;CINTA P/POSTE CIRC 210MM D435.07;PEÇ
251836;CINTA P/POSTE CIRC 310MM D435.07;PEÇ
251837;CINTA P/POSTE CIRC 330MM D435.07;PEÇ
251838;SELA P/ CRUZETA AZ 116MM 58MM D470.08;PEÇ
251839;SUPOR TRAFO POSTE CIRC 225MM TP1 D421.01;PEÇ
251840;SUP TRAFO DT A=160MM B=95MM D421.02;PEÇ
251841;SUPORTE L AZ CH.FUS/PR 198MM D410.35;PEÇ
251842;SUP TRAFO DT A=170MM B=105MM D421.02;PEÇ
251843;SUP TRAFO DT A=180MM B=115MM D421.02;PEÇ
251844;CINTA POSTE DT AZ 165x50MM D435.06;PEÇ
251845;CINTA POSTE DT AZ 180x60MM D435.06;PEÇ
251846;CINTA POSTE DT AZ 215x65MM D435.06;PEÇ
251847;CINTA POSTE DT AZ 240x80MM D435.06;PEÇ
251848;CINTA POSTE DT AZ 270x90MM D435.06;PEÇ
251849;CINTA POSTE DT AZ 305x95MM D435.06;PEÇ
251850;CINTA POSTE CIRC.AL 290MM PM 1257 I15 R3;PEÇ
251851;SELA  CRUZETA LIGA ALUMÍNIO  DED 1265 R2;PEÇ
251852;SUPORTE CH. C.CIRC/P.RAIOS AL DED 1859;PEÇ
251853;CINTA AJUST.POSTE BAP2 800MM D1742I1 FP;PEÇ
251854;CINTA AJUST.POSTE BAP3 1200MM D1742I2 FP;PEÇ
251855;SUPORTE Z AZ 113MM  P/ CH FUS/PR D436.01;PEÇ
251856;ALÇA PREF AÇO PRE REUN 25MM² D73006 FPM;PEÇ
251857;ALÇA PRÉ FORM. P/CB CONC 10mm (BI);PEÇ
251858;ALCA PREF ACO PRE REUN 16MM2 D73006 FPM;PEÇ
251859;ALCA PREF ACO PRE REUN 35MM2 D73006 FPM;PEÇ
251861;ALCA PREF ACO CAL 70MM2 D73006 FPM;PEÇ
251862;LACO PREF ACO;CB PR RE.16MM² D730.06 FPM
251864;LAÇO PRE AÇO CAL 50 PM2276 TIPO IX I2 FP;PEÇ
251865;LAÇO PREF AÇO PRE REUN 70MM2 D73006 FPM;PEÇ
251866;ALCA PREF ACO CB CONC BIP 6MM² PM 1958I2;PEÇ
251869;GRAMPO ANCOR.POLIM CB AL PM1773I2;PEÇ
251870;GRAMPO ANCOR POLIM CB AL PM1773I3;PEÇ
251871;AFAST ARM SEC 250MMX700MMX600MM D435.03;PEÇ
251872;AFAST ARM SEC 500MMX700MMX600MM D435.03;PEÇ
251873;ARMAÇÃO SEC.SIMPLES LIGA AL.DED 1255 R.2;PEÇ
251874;ARMAÇÃO SEC. DUPLA LIGA AL.DED 1254 R.2;PEÇ
251875;CHAPA CURVA AZ 76X 8X130 ESTAI D44511 FP;PEÇ
251876;FITA  PROTECAO CB AL 1 0X10MM DED 0077R3;KG
251877;GANCHO OLHAL AZ SUSP 5000DAN D0039R 3;PEÇ
251878;GRAMPO LINHA VIVA EM ESTRIBO 230A D71070;PEÇ
251880;PINO ISOLADOR LIGA AL DED126 FP;PEÇ
251881;ALÇA PREF AÇO PRE REUN 95MM2 D73006 FPM;PEÇ
251882;ALCA PREF ACO CB PRE RE 150MM D1958 FP;PEÇ
251884;BRACO TIPO L 13 8KV 354MM D456.01;PEÇ
251885;BRAÇO SUP 15KV AZ TIPO C SPACER D45501;PEÇ
251886;CANTONEIRA AUX.800MMP/BRAÇOC PM R1765;PEÇ
251887;ESPAÇADOR RC 15KV; DED 1766 I2  FP
251888;ALCA OLHAL PREF ACO COB 50MM2 D73014 FPM;PEÇ
251889;MAO FRANC PLANA AZ 619MM 566MM D430.02;PEÇ
251890;OLHAL M16 5000daN PM BR/D41005.0;PEÇ
251891;ALCA OLHAL PREF AÇO COB 185MM2 D730.14.0;PEÇ
251893;SAPATILHA AZ ALCA PREFORMADA D510.02;PEÇ
251894;LAÇO PLÁST P/CB 1/0AWG RC DED 1771 I1 R1;PEÇ
251895;ALÇA  PRE FORMADA RAMAL SERVICO CAA 35MM;PEÇ
251898;MANILHA TORCIDA AZ SPACER D530.10;PEÇ
251901;PROTETOR ESTR E GLV 15/25KV PM BR780.06;PEÇ
251902;SUPORTE HORIZ 755X300MM PM BR 455.05;PEÇ
251903;SUPORTE AFAST HORIZ 1250MMX450MM D425.09;PEÇ
251904;ALCA PREF CB 4CAA DQN 1956 I1 R4 FP;PEÇ
251905;ALCA DISTRIB CU NU  35MM2 DQN1956 FP;PEÇ
251909;ALCA PREFORM.CB CA 4/0AWG DQN 1956 FP;PEÇ
251912;CHAPA PARA ÂNCORA  DED 1361 FP;PEÇ
251913;ALCA PREF CORD ACO 7.9MM MR D730.04;PEÇ
251914;ALCA PREF CORD ACO 9.5 MM MR D730.04;PEÇ
251915;ALCA PREF DIST CU NU 25MM2 7F DQN1956 FP;PEÇ
251916;ALCA PREFORM.CU CB CONC.BIP.6MM DQN 1959;PEÇ
251917;ALCA PREF.CU;CB CONC.TRIP.10MM² DQN 1959
251918;ALCA PREF CU PRE REUN 25MM2 D73006 FPM;PEÇ
251919;ALCA DIST ACO PRE 336.4MCM CA D73014 FPM;PEÇ
251920;ALÇA PREFORM.CB CA 477MCM  DQN 1956I6R4;PEÇ
251921;ALCA PREF DIST CU NU 16MM2 7F DQN1956 FP;PEÇ
251922;SUPORTE T AZ TIPO 1 540MMX195MM.D455.06;PEÇ
251925;BRAÇO  LUMIN. ABERTA 1000MM  DED 0650R3;PEÇ
251927;CINTA AÇO INOX 19MM C/FECHO P/ABRAÇ D655;PEÇ
251928;TRAVA P/ ABRAÇADEIRA AÇO INOX  D655.01;PEÇ
251930;GRAMPO  CERCA ACO ZINCADO 30MM  DED 1852;KG
251931;PRENSA CABO ROSQ;CB 6 12MM PM 1749
251934;PRENSA CABO ROSQ CB 13 18MM PM 1749 I2;PEÇ
251935;LAÇO PREF MENS CORD ACO 9.5MM D730.04;PEÇ
251936;BRAÇO ANTI BALANÇO 15KV DED 1778;PEÇ
251937;LAÇO PLÁS P/CB 336 4MCM RC DED1771 I2 R1;PEÇ
251939;ALCA PREF AÇO PRE REUN CA 25MM2 D73006;UN
251941;PRENSA CABO ROSQ;CB3X7 9 9 6MM
251942;SUPORTE PARAFUSO ABRAÇAD NYLON PM1994I1;PEÇ
251947;ALCA PREF ACO CB CONC BIP 6MM² PM1958 FP;PEÇ
251948;ALÇA PREF AZ BI CONCENT 6MM2 PM R2276;PEÇ
251952;SUPORTE FIXAÇÃO CX DERIVAÇÃO DQN 2122 R3;PEÇ
251953;MÃO FRANCESA AZ PERFILADA 1971MM D43001;PEÇ
251954;MÃO FRANCESA AZ PERFILADA 2548MM D43001;PEÇ
251956;MAO FRANC.PERFIL LG AL 1971MM PM 1259I2;PEÇ
251957;MAO FRANC.PERFIL LG AL 2548MM PM1259 I3;PEÇ
251958;SUP  PROLONG.CONCENTR.MEDIÇÃO PM2174 FP;PEÇ
251965;ESPAÇADOR BT MT 2 336 TIPO1 PM BR530.03;PEÇ
251968;SUPORTE SEC UNIPOLAR TIPO 1 PM BR480.02;PEÇ
251969;SUPORTE SEC UNIPOLAR TIPO 2 PM BR480.02;PEÇ
251970;ALCA PREF OLH DIST CB CAA 4AWG PM2191 FP;PEÇ
251971;ALCA OLHAL PREF ACO 2AWG D73014 FPM;PEÇ
251972;ALCA OLHAL PREF ACO CA 1/0AWG D73014 FPM;PEÇ
251973;ALCA OLHAL PREF AÇO CA 336.4MCM D73014 F;PEÇ
251975;ESPAÇADOR LOSAN RD SPACER 15KV D53001;PEÇ
251976;ALCA OLHAL PREF ACO COB 35MM2 D73014 FPM;PEÇ
251983;ALÇC OLHAL PREF LIGA AL CAL 50MM2 D73014;PEÇ
251984;ALCA OLHAL PREF LIGA AL CAL 70MM2 D730.1;PEÇ
251985;EMENDA RETA 12/20 kV 35 120mm² GSCC004;PEÇ
251989;CINTA POSTE CIRC.AL 180MM PM 1257 I4 R3;PEÇ
251991;CINTA POSTE CIRC.AL 220MM PM 1257 I8 R3;PEÇ
251994;ALCA OLHAL PREF LIGA AL CAL 25MM2 D730.1;PEÇ
252009;ALCA PREF LIGA AL PRE REU 54.6MM2 D73006;PEÇ
252010;ALCA LIGA AL PRE REU 70MM2 D73006 FPM;PEÇ
252019;ALÇA PREF AL BI CONCENT 6MM2 D730.05.0;PEÇ
252020;ALÇA PREF AL BI CONCENT 10MM2 D730.05.0;PEÇ
252021;ALÇA PREF AL BI CONCENT 16MM2 D730.05.0;PEÇ
252023;ALÇA PREF AZ BI CONCENT 16MM2 D730.05.0;PEÇ
252024;ALCA PREF DIST LIGA AL 25MM2 CAL D730.14;UN
252025;ALCA PREF DIST LIGA AL 50MM2 CAL D730.14;UN
252026;ALCA PREF DIST LIGA AL 70MM2 CAL D730.14;UN
252028;ESPAÇADOR BT MT 2 336 TIPO2 PM BR530.03;PEÇ
252029;ALCA PREF AÇO PRE REU 25MM PM 2276 FP;PEÇ
252030;ALCA PREF  LIGA AL PRE REUN 25MM2 D73006;PEÇ
252033;CINTA TUBULAR ELEV POSTE 3T 1 1m;PEÇ
252036;DISTANCIADOR ISOL PILAR PM BR510.70;UN
252047;LAÇO PREF.AÇO;CB PR. 25MM² PM1957 FP
252048;LAÇO PREF  LIGA AL PRE REUN 25MM2 D73006;PEÇ
252049;LAÇO PREF LIGA AL PRE REU 54.6MM2 D73006;PEÇ
252050;LAÇO LIGA AL PRE REU 70MM2 D73006 FPM;PEÇ
252051;ESPAÇADOR VERT RD SPACER  15KV D53001;PEÇ
252053;ESPAÇADOR LOSAN RD SPACER 34 5KV D53001;PEÇ
252083;LACO LAT DUPLO LIGA AL CAL 25MM2 D730.14;UN
252084;LACO LAT DUPLO LIGA AL CAL 50MM2 D730.14;UN
252097;LACO TOPO PREF LIGA AL CAL 25MM2 D730.14;UN
252098;LACO TOPO PREF LIGA AL CAL 50MM2 D730.14;UN
252100;LACO TOPO PREF LIGA AL CAL 160MM2 D73014;UN
252108;LACO LAT PREF LIGA AL CAL 25MM2 D730.14.;UN
252109;LACO LAT PREF LIGA AL CAL 50MM2 D730.14.;UN
252110;LACO LAT PREF LIGA AL CAL 70MM2 D730.14.;UN
252112;ALÇA AÇO PRE REUN COB 50MM2 D73006 FPM;PEÇ
252113;ALÇA AÇO PRE REUN COB 95MM2 D73006 FPM;PEÇ
252114;ALÇA AÇO PRE REUN COB 150MM D73006 FPM;PEÇ
252115;LAÇO AÇO  PRE  REUN COB 50MM2 D73006 FPM;PEÇ
252116;LAÇO AÇO PRE REUN COB 95MM2 D73006 FPM;PEÇ
252117;LAÇO AÇO PRE REUN COB 150MM2 D73006 FPM;PEÇ
252136;ALCA OLHAL PREF AÇO CAA 4AWG D730.14.0;PEÇ
252137;ALCA OLHAL PREF AÇO CAA 1/0AWG D730.14.0;PEÇ
252138;ALCA OLHAL PREF ACO CAA 336.4 D73014 FPM;PEÇ
252192;ALÇA PREF DIST ACO COBERTO 50MM2 D730.14;UN
252195;CANTONEIRA U AZ 410X100X50X8MM D43534.0;UN
252254;CINTA P/POSTE CIRC 340MM D435.07;UN
252262;GRAMPO LINHA VIVA DERIV NTC61 FP;UN
252269;MAO FRANC PLANA AZ 726MM 673MM D430.02;UN
252347;ALCA PREF AÇO 2AWG CA/CAA D730.14 FPM;UN
252364;SUPOR TRAFO POSTE CIRC 285MM TP1 D421.01;UN
252432;ELO BOLA 12000DAN PM BR510.29;UN
252514;CINTA P/POSTE CIRC 380MM D435.07;UN
252527;CINTA P/POSTE CIRC 360MM D435.07;UN
252615;CINTA AJUST.POSTE BAP2 800MM D480.21;UN
252616;CINTA AJUST.POSTE BAP3 1200MM D480.21;UN
252636;ESTICADOR  TIPO AMERICANO  P/TENSIO;UN
252831;PRENSA FIOS  AÇO ZINCADO P/2 CB AÇO ZINC;PEÇ
252833;CAIXA DE LIGAÇÃO DIVERSOS TIPOS   TAMANH;PEÇ
252854;PINO DE TOPO  DDT 0317 R.3;
252856;ARAME ZINCADO DIAM 5 0MM  DED 0194 R.3;
252858;SUPORTE FIXAÇÃO RELE/REATOR IP DQN 2151;
252860;SUPORTE MED. EM CRUZETA PMA 420.03 I1 FP;PEÇ
252867;COLAR TIPO U DIÂMETRO 210MM DS3075/1;
252868;COLAR TIPO U DIÂMETRO 280MM DS3075/2;
252869;SUPORTE FIX P/ TERM SUB;
252871;ESTICADOR  ESTAI ACO FORJ ZINC QUEN;
252876;ESTICADOR  TIPO AMERICANO  TENSIONA;
252877;ESTICADOR  TIPO AMERICANO  P/TENSIO;
252878;ESTICADOR  TIPO AMERICANO  P/TENSIO;
253343;CONEC TER TRAV 185MM² 336MCM PM BR710.74;PEÇ
253345;SUCATA BORRACHA;KG
270171;CONEC|TERM|COMPR|AL|50MM2|1F|D71038;CDA
270277;PROTETOR PARA RAIOS 36KV PM Br 780.04;CDA
270380;ESTROPO POLIAMIDA 1200MM 670KGF;CDA
270381;ESTROPO POLIAMIDA 500MM 670KGF;CDA
270384;EME FRIO BT SUBT 150 240MM2 PM BR 720.27;CDA
270387;EME A FRIO BT SUBT 25 50MM2 PM BR 720.27;CDA
270388;COBERTURA ISO COND 129 2X86X1560MM;PI
270389;COBERT ISO RIG 30KV CL3 150X1200MM;PI
270392;COBERTURA ISOL FLEX 36KV CL3;PI
270401;TAMPA RET FERRO TP4 125KN PM BR462.03;CDA
270440;COBERTURA ISOL CIRC 230X1800MM NTS02 21;CDA
270441;COBERT ISO CIR 30KV CL3 150X600MM NTS 21;CDA
270442;COBERT ISO CIR 30KV CL3 150X300MM NTS 22;CDA
270445;COBERTURA ISOL FLEX 17KV CL 2 NTS02 21  ;CDA
270448;TACO FIB 350X35X45 3F 25 D230.05/1;CDA
270464;CON TER TOR BI 35MM2 1F 631A D71063;CDA
270468;CON TER TOR BI 35 185MM2 2F 631A D71063;CDA
270469;TACO FIB 350X35X45 6F 30 D230.05;CDA
270477;PASSA FIO DE AÇO;CDA
270478;COBERTURA ISOLANTE TIPO CALHA 35KV;CDA
270479;SUPORTE ISOLANTE PARA BYPASS MT;CDA
270480;APLICADOR DE CONECTOR CUNHA;CDA
270481;CHAVE DE IMPACTO COM BATERIA E CARREGADO;CDA
270561;C.PERF AL CU D 50 150TR 6 54 6DR GSCC20;CDA
274634;COBERTURA PROT;BT
274639;CONECTOR PARAL CU 2X 16 120MM2 2P D71026;UN
274682;CONECTOR COMPR H AL/CU 70MM2/ 10MM2;PEÇ
274684;CONEC.COMPR.H AL/AL AL/CU DED 1451 I6;PEÇ
274685;CONEC.COMPR.H AL/AL AL/CU DED 1451 I.7;PEÇ
