?Codigo;Descricao;Unidade
130726;DISJUNTOR TRIPOLAR  100 A;PEÇ
130727;DISJUNTOR TERM TRIPOLAR 125A PM1715 I11;PEÇ
130728;DISJ TERM TRI 150A 10KA DED 1715 I34 R8;PEÇ
130729;DISJUNTOR TERM TRIPOLAR 200A PM1715 I13;PEÇ
130730;DISJUNTOR TERM MONOP 40A PM1715 I1 R11;PEÇ
130732;DISJUNTOR TERM BIPOLAR 50A PM1715 I5 R11;PEÇ
130733;DISJUNTOR TERM BIPOLAR 63A PM1715 I6 R11;PEÇ
130736;DISJUNTOR TERM TRIPOLAR 63A PM1715 I9;PEÇ
130738;DISJUNTOR TERM TRIPOLAR 50A PM1715 I8;PEÇ
130739;DISJ TERM TRI 70A 10KA  FPM;PEÇ
130740;DISJ MINI 3P 100A 10KA 400VCA E BT 004;PEÇ
130741;DISJ TERM BIPO 70A 10KA  FPM;PEÇ
130742;CHAVE MAG SEG P/ CX MED GPA 150MM D19045;UN
130743;DISJUNTOR TERM MONO 63A  PM1715 I3 R11;PEÇ
130744;DISJUNTOR TERM TRIPOLAR 40A PM1715 I7;PEÇ
130746;DISJUNTOR TERM BIPOLAR 40A PM1715 I4 R11;PEÇ
130761;DISJUNTOR TERM 1P 80A 120V/5KA EBT004;UN
130866;PORTA FUSIVEL 15KV TIPO C 100A ET 277;
130882;BYPASS PROVIS.ROSQUEAVEL P/CHAVE FUSIV;
141221;DISJ 36KV 16KA 1250A VÁC/SF6 ESE003;PEÇ
141222;CH17 5KV A11 630A MON TAN VT 25KA ESE006;PEÇ
141223;CH17 5KV A19 2000A MONO VERT 25KA ESE006;PEÇ
141224;CH17 5KV A12 630A MON VT 25KA ESE006;PEÇ
141230;CH17 5KV A13 630A MONO INVER 25KA ESE006;PEÇ
141233;RELIG RD 3F 15kV 630A 12.5kA MAT 20 0899;PEÇ
141234;SECCIONALIZADOR ELETRONIC UNIPOL D180.01;PEÇ
141242;BLOQUEADOR CHAVE FUS;SECCION
141264;SECCION 3F SOB CARGA 24KV 630A GSCM03/2;CDA
141283;SEC PREF CERCA FARP/LIS 2.60 3MM D730.04;PEÇ
141285;CHAVE SECC BY PASS  400A 15KV PM R198.02;PEÇ
141286;ADAPTADOR P/ CX. MEDIDOR DED 1795 I1 R3;PEÇ
141292;CH SECC CARGA FUS400A CX DIST RAM PM2053;PEÇ
141294;CHAVE SEC TRIP 15kV 400A C/CAR D2127 I1;PEÇ
141296;SEC UNIPOLAR 17 5KV 400A 350MM D198.03;PEÇ
141297;SEC UNIPOLAR 17 5KV 630A 350MM D198.03;PEÇ
141298;CX BLIN BUCH BT TRAF TRI PM2213I3.R.2;PEÇ
141299;CX BLIN BUCH BT TRAF TRI PM2213 I4 R.2;PEÇ
141307;SECCION 3F B CARGA 24KV 400A 12KA SUCATA;CDA
141308;SECCION 3F B CARGA 24KV 630A 16KA   REC;CDA
141309;SECCION 3F B CARGA 24KV 630A 16KA À REC;CDA
141310;RELIGADOR 630A 15 5KV 12 5KA 3F   À REC;UN
141361;CH17 5KV 1600A MOT TRIP CENT 25KA ESE006;PEÇ
141381;RELIGADOR  630A   15 5KV   16KA   3F REC;UN
141382;RELIGADOR  400A   15 5KV   8KA   3F REC;UN
141383;RELIGADOR  630A  15 5KV  12 5KA   3F REC;UN
141386;RELIGADO 630A 27KV 12 5KA 3F À RECUPERAR;UN
141389;RELIGADOR 1F 15KV 100A NTE047/01;PEÇ
141390;RELIGADOR 630A 27KV 12 5KA 3F REC;UN
141403;CHAVE SECCIONADORA 15KV 400A 3F ÓLEO REC;UN
141404;RELIGADOR 27KV 800A 3F AUT 12 5KA REC;UN
141405;RELIGADOR 15 5KV 400A 3F AUT 12 5KA REC;UN
141409;CONTROLE RELIGADOR 127/220V À RECUPERAR;UN
141411;REGULADOR 8KV 100KVA 125A 1F À RECUPERAR;UN
141413;REGULADOR 7 62KV 416KVA 546A 1F À RECUPE;UN
141414;REGULADOR 7 62KV 509KVA 668A 1F À RECUPE;UN
141415;REGULADOR 19 92KV 667KVA 335A 1F À RECUP;UN
